VariableName,Gas:Facility,Electricity:Facility
KeyValue,,
176,34686753.57881107,1073639275.2863574
177,34287476.939621486,943040402.772979
178,30541070.7027064,765634360.2698495
179,34025786.86103218,767043593.4132684
180,37638083.55885226,837127650.2433152
181,38062648.195267804,825721470.794739
182,22455789.581417453,804815279.4323437
183,26488003.93852923,767030182.1874988
184,30707080.534710784,1033904788.2017455
185,45732447.0434526,1259595313.4324598
186,54944317.61575695,1258195207.4579442
187,59209707.70681012,1171610975.2192252
188,66532794.47301991,1170218073.3681302
189,93102026.19052547,1083656910.2594097
190,119905113.52457637,994284064.6509216
191,150302442.65384164,907726965.7041268
192,175241230.38288334,1041783262.8476145
193,301958342.4545801,1176009852.343027
194,438672622.73368055,1245844294.2398913
195,571523965.4903253,1187540095.602546
196,602699647.9306368,1142326001.6364694
197,711779895.6601675,1335590643.9937997
198,5415925807.561754,1553597951.1273572
199,5963277917.680663,1874264935.8735216
200,4064658784.6451826,3781319292.8452992
201,3621754519.103008,3648218399.1398635
202,3352250367.231328,3471685727.635046
203,3122373667.641759,3471312538.7967596
204,3142061526.51272,3291886087.839021
205,2920133997.719453,3470914943.221512
206,2749046900.6083627,3470608622.436264
207,2756911160.2251287,3470610618.213936
208,2973153935.78745,3739172018.998554
209,3219240789.7041945,3425568917.737661
210,3532512075.8814673,2708463183.191821
211,3565397882.6736393,2620584033.777517
212,3797402325.6028705,2082750344.6361718
213,3970236512.9434247,1995114947.450716
214,15699140.8966327,1257685018.2824185
215,28759847.881528232,1084210624.9821484
216,56755812.89274681,1041656112.9666119
217,81119114.71483406,1043094162.8688133
218,128709216.5694978,1041755332.6782539
219,143105450.57106262,1043198854.5307858
220,309931396.6612174,1128039202.0184503
221,538456377.4987016,1335389571.9326026
222,4838987428.42891,1550677505.3939524
223,5857757392.888734,1873524755.9249046
224,3963142259.6573424,3781250546.9820657
225,3383160016.3279204,3648058449.015191
226,3185736765.426745,3471652239.4557056
227,2865755263.5661707,3474431616.2048273
228,2703829432.8120914,3297748054.91993
229,2300562838.671948,3478177034.6523094
230,1918915379.6555424,3474592785.3451834
