y_true,y_pred
255953618.4,290637570
249208828.5,289835400
242078559,294590720
242491254,300405500
243449144.3,305432500
228236039.6,250212290
154998239.6,178602880
150983622,156082900
110569851.5,149022580
107714791,143750940
113085425.8,137518940
98464196.49,133777390
98742478.1,113796530
68853306.05,112454536
75376251.17,108479176
62009312.35,115053060
62009312.35,119974904
62009312.35,118790696
78736963.1,151216690
64157899.1,111893336
163469192,146093980
142458379.3,164404290
179218877.1,167444420
145832982.6,166773760
176932561.6,174160100
148441744.6,182398290
172718604.5,183354690
134784794.6,181853550
134425030.6,184001380
128353543.3,178340370
119407181.3,160098110
139999876.9,156506000
101290471.9,146868780
97633014.57,143381970
84526347.26,139369860
78306788.44,139112100
62009312.35,135431540
73502963.78,154605180
73502963.78,152310560
73502963.78,152478820
73502963.78,149299140
82190667.82,142768180
195156666.6,257434450
266899954.7,293188640
422775528.7,465537660
394959754.9,440691780
398475877.1,449425020
420990019.1,466651870
426539181.8,476269730
433230557.5,499400130
428841743.4,501912540
442335824.9,514835330
477707405.9,544312000
348723676.9,407644960
217713878.8,270777600
230181443.5,252165490
213998366.3,240868500
212341859.6,236419980
100496146.8,159860720
124784271.5,153560380
79698759.49,153027580
84190704.83,144461730
107654214.8,153558190
73502963.78,137550930
90536513.83,142667090
82190667.82,129036300
213405840.2,255928620
274762278.6,283232930
454386872.9,477781100
426343527.8,462106370
424771866.1,464384770
451121899.2,495702430
465093624.2,510784900
489820809.3,530637000
489785459.8,529145660
488416108.5,534766560
495751106.3,545469700
387392959,413471650
261776587.2,283675260
272446224.3,270754600
251440910.9,256854580
243281142,247231460
100496146.8,151745630
132216381.9,140197900
93047701.61,127263130
73502963.78,124687570
92576232.56,126625784
92873656.69,122894904
73502963.78,103598030
82190667.82,58450732
210929346.9,247262100
282165684.7,289542340
402597646.2,449402240
365946173.6,430390340
362396488.4,431808420
385159863,450880160
401769607.4,471654240
422095160.9,481818020
420138675.3,479565570
432946360.1,494781340
445489355.6,511939870
318112875.2,380202270
192122295.2,257723200
204797520.4,244680400
187666611.2,235034350
189601022.8,234945040
100496146.8,134468420
97598751.88,129850820
73502963.78,97903690
73502963.78,108613090
73502963.78,105962900
73502963.78,102793864
73502963.78,100726344
82190667.82,99000850
250846270.4,266470050
310180487.8,309399360
396915224.5,424135780
360392566.5,411961700
368962605.6,417107400
392445785.8,437827420
408987271.6,459609600
431936662.8,463622660
424875732.4,467649150
439293331,484773020
458243917.8,504588600
331900000.8,380785600
198520301.9,261834420
203984695.2,240769980
185089441.9,214079120
187763014.2,225853710
