index,y_true,y_pred
72,551904570.1966712,548823980.5547316
73,396074153.1779572,372806640.67129236
74,343550395.57146674,374279667.46033627
75,325144318.49035555,362861699.4754181
76,328485768.32073563,347029607.13800365
77,109742666.65037309,177524513.414382
78,176805721.20805427,159995038.65243468
79,118256059.39353524,149183545.3299635
80,88053487.55699085,103958059.54111347
81,78099972.9614355,108674009.67720637
82,78099972.9614355,89030502.33796605
83,78099972.9614355,81120788.33336869
84,86787676.9919473,153756790.14514446
85,290075919.6277393,346517878.93523407
86,359047248.39101183,443787434.7092715
87,567588328.0405266,662145339.7033324
88,559259522.3461056,607307601.5407176
89,569691001.7525979,572761702.4695172
90,595954536.2346613,594771626.5720639
91,611957358.42157,654023569.7575867
92,617283582.9254503,657180031.2785658
93,615005588.0074846,612174142.9447194
94,652082383.5069774,624056229.6484263
95,682050767.474143,659953889.0190716
96,570444280.2326859,557044224.9584672
97,390316094.09940183,372576292.0025765
98,346035526.5617163,370285642.6202467
99,325066486.5565749,361462089.1782302
100,327058850.483995,343453064.65793437
101,116723347.40653971,174485076.12869483
102,164440570.9250687,170231677.5334798
103,78099972.9614355,138832679.39676258
104,138087546.03029138,104841542.76797882
105,78099972.9614355,119401570.70603254
106,88530016.984019,116816770.13460305
107,97453738.66846429,143653506.80749288
108,99237252.2111362,138800299.84205142
109,270127859.3569093,358721428.94418216
110,351918631.0683132,429598686.3445916
111,567459470.7353076,646224522.5672244
112,549657518.7264917,630452923.0525701
113,572342390.3357328,588283625.8175805
114,599017968.9914885,601642338.0213455
115,622640365.0392504,663720506.1905277
116,625651847.369293,660888969.5260296
117,619594556.094022,610432144.567833
118,655702692.3848566,623155179.163831
119,680334532.9816169,661172354.3093183
120,563731692.1010535,554934478.5387214
121,407255340.07775635,372605394.42027324
122,361687376.65288746,363886026.851595
123,328623764.05190647,361622194.454373
124,328598099.74768597,343691968.64824635
125,169455201.75425652,181741074.91711092
126,106525326.96371208,176247963.19655806
127,135264419.3803556,119712777.68963397
128,78099972.9614355,132158754.47619733
129,108809792.66774447,128388811.90990204
130,78099972.9614355,128488183.18209073
131,113608936.73385565,72749926.96450695
132,86787676.9919473,168886863.3583274
133,278373731.2423133,367791979.5893631
134,352082635.92459416,452018584.6928129
135,569111233.9583448,670416528.0701749
136,553715173.6753222,615581065.0781255
137,565051340.644998,586842355.5077745
138,597734661.1706372,612602229.0374551
139,618859991.2047284,661942872.2020525
140,627405367.4616516,660946214.9977195
141,615249864.6268218,611796986.0461539
142,649227730.2871228,626559402.370794
143,685748734.0564427,668724748.2408221
144,576538865.6388502,558718620.8723305
145,429420859.02949023,373283525.74282974
146,377593511.0442768,361735452.8837206
147,329226067.1222636,360458759.93270016
148,326755001.5370365,344285649.09686786
149,185869603.1599425,192071609.46841383
150,153103128.6929387,144488580.61812827
151,78099972.9614355,126328429.25164786
152,78099972.9614355,124636486.62971056
153,78099972.9614355,107695511.00365224
154,99311756.0236333,99313576.2621063
155,87886006.79655357,121776134.95295414
156,86787676.9919473,113928259.07017425
157,273692034.30614483,363865120.19446003
158,347989568.70731944,480883625.80327594
159,593738441.5957257,630588014.2233864
160,583558700.5576053,551774289.4558969
161,580985913.5595828,533226146.9600996
162,588977034.8082783,567991600.6434659
163,598597573.9491507,627946346.4456542
164,603667202.3157536,632164902.0401635
165,606820691.1606952,594278064.0252082
166,641863933.4503199,615323521.2362418
167,683363003.488089,657516832.2298715
168,569862764.7726417,549501569.8731856
169,426134231.7813614,372392478.1172648
170,373894613.3201715,359382138.7941129
171,320256039.2764334,352097799.63327307
172,320534903.98701423,339132776.765412
173,180534239.24122864,175757766.2611448
174,134244703.7555447,163556649.62614763
175,122543688.14079641,175739781.8574969
176,92789060.29896528,146927264.09928337
177,66606321.52290234,155173827.6499704
178,66606321.52290234,127488380.51653755
179,66606321.52290234,115101466.2444154
180,66606321.52290234,181897879.08517843
181,257936641.32077512,358720181.30218744
182,276275419.3839877,359273241.5844743
183,331366476.969681,421165285.33510673
184,364292051.2904061,397507289.40538454
185,369619946.5771465,383260185.58822215
186,376324511.9484819,392661873.38688624
